
SimulationName	Date	Day	Month	Year	JulianDay	idCell	idVoxel	x	y	z	theta	mineralNitrogenStock	cropRootDensity	cropWaterUptake	cropNitrogenUptake	totalTreeCoarseRootBiomass	totalTreeRootDensity	totalTreeWaterUptake	totalTreeNitrogenUptake	fineRootCost	colonisationDirection_1	treeCoarseRootBiomass_1	treeRootDensity_1
forestry	1/8/1994	1	8	1994	213	6	72	2.50000e+00	1.50000e+00	2.30000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	7	73	5.00000e-01	5.00000e-01	1.00000e-01	1.53171e-01	2.35890e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	7	74	5.00000e-01	5.00000e-01	3.00000e-01	1.80953e-01	1.50000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	7	75	5.00000e-01	5.00000e-01	5.00000e-01	2.99513e-01	7.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	7	76	5.00000e-01	5.00000e-01	7.00000e-01	3.00000e-01	7.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	7	77	5.00000e-01	5.00000e-01	9.00000e-01	3.00000e-01	1.66667e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	7	78	5.00000e-01	5.00000e-01	1.10000e+00	3.00000e-01	1.66667e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	7	79	5.00000e-01	5.00000e-01	1.30000e+00	3.00000e-01	1.66667e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	7	80	5.00000e-01	5.00000e-01	1.50000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	7	81	5.00000e-01	5.00000e-01	1.70000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	7	82	5.00000e-01	5.00000e-01	1.90000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	7	83	5.00000e-01	5.00000e-01	2.10000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	7	84	5.00000e-01	5.00000e-01	2.30000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	8	85	1.50000e+00	5.00000e-01	1.00000e-01	1.53173e-01	2.35893e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	8	86	1.50000e+00	5.00000e-01	3.00000e-01	1.80954e-01	1.50000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	8	87	1.50000e+00	5.00000e-01	5.00000e-01	2.99513e-01	7.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	8	88	1.50000e+00	5.00000e-01	7.00000e-01	3.00000e-01	7.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	8	89	1.50000e+00	5.00000e-01	9.00000e-01	3.00000e-01	1.66667e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	8	90	1.50000e+00	5.00000e-01	1.10000e+00	3.00000e-01	1.66667e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	8	91	1.50000e+00	5.00000e-01	1.30000e+00	3.00000e-01	1.66667e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	8	92	1.50000e+00	5.00000e-01	1.50000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
forestry	1/8/1994	1	8	1994	213	8	93	1.50000e+00	5.00000e-01	1.70000e+00	3.00000e-01	4.00000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-9999	0.0	0.0
